//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 73900000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
73900000;1;01/01/2006;;1;1;27,5;0,9;2,91;25;17;1;1;1;;0;1,5;2,14;2,72;2,04;1,84;1,4;1,35;1,3;1,21;1,16;1,06;1,01;3,8;1,89;1,3;1,11;0,93;2,14;2,72;2,14;1,79;1,6;1,5;1,5;20,8;11;5,79;4,34;3,21;2,14;1,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73900000;1;01/02/2006;;1;1;16,7;0,9;3,27;24;9;1;1;1;;0;1,74;1,7;1,35;1,35;1,4;1,35;1,45;1,16;0,93;1,45;1,3;1,25;1,06;1,06;1,84;1,5;8,48;4,91;3,7;3,12;8,69;4,91;4,05;12,4;6,66;5,35;3,9;3,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;
73900000;1;01/03/2006;;1;1;60;1,65;8,46;29;18;1;1;1;;0;3,21;7,01;17,6;11,6;9,53;6,51;4,91;4,34;4,05;5,79;3,8;3,21;2,72;2,33;2,14;1,94;1,74;1,7;1,74;7,85;9,95;9,11;8,27;8,9;12,4;13,3;7,64;9,32;50,4;16,7;12,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73900000;1;01/04/2006;;1;1;10,2;1,94;4,37;10;30;1;1;1;;0;8,9;6,51;5,2;4,34;4,05;3,9;3,9;3,61;3,9;8,9;5,64;4,63;4,05;3,8;5,79;6,8;4,63;3,8;3,7;3,31;3,02;5,35;4,34;3,51;3,12;2,92;2,72;2,63;2,23;1,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73900000;1;01/09/2006;;1;1;23,1;3,12;7,35;20;1;1;1;1;;0;3,31;14,4;11,6;7,01;5,35;4,63;4,05;3,51;7,22;8,06;6,22;5,5;4,63;3,9;6,22;9,32;7,64;6,66;5,5;13,6;20,2;15,8;10,4;8,48;6,37;5,2;4,63;3,9;3,8;3,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73900000;1;01/10/2006;;1;1;79,2;2,92;10,7;1;28;1;1;1;;0;33,1;48,8;26,3;22,8;25,3;18,2;14,1;10,6;8,69;6,8;6,51;5,79;4,63;4,48;7,22;4,91;8,69;13,9;10,2;7,22;5,79;4,48;3,9;3,9;3,9;3,61;3,21;2,92;2,92;4,77;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73900000;1;01/11/2006;;1;1;231;2,33;22;19;16;1;1;1;;0;6,08;4,77;3,9;3,41;3,12;8,9;16,7;10,4;7,64;6,22;5,5;4,34;3,41;2,92;2,72;2,43;2,53;70;194;93,9;49,6;32,4;21,6;18,4;15,6;13,3;10,4;17;18,2;11,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73900000;1;01/12/2006;;1;1;125;2,14;16,1;24;14;1;1;1;;0;8,9;7,01;6,08;5,06;4,05;4,19;5,35;3,9;3,7;3,41;3,02;2,82;2,43;2,23;3,51;12,7;6,08;3,8;3,12;15,3;24,4;13,9;19,6;117;68;54,4;31,7;21,1;15,3;15,6;10,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73900000;1;01/01/2007;;1;1;50,4;2,528;8,421;20;16;0;0;1;;0;8,69;6,8;5,35;13,28;14,42;8,9;7,22;5,64;4,48;4,48;3,9;3,802;3,704;3,41;3,018;2,528;2,528;6,655;13,85;42,8;19,6;10,58;7,64;6,075;5,205;5,495;10,58;10,37;8,48;6,22;5,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73900000;1;01/02/2007;;1;1;44;1,156;8,5369;25;18;0;0;2;;0;4,625;3,802;3,312;3,214;3,116;2,92;2,626;2,136;1,94;2,038;2,038;1,793;1,744;1,695;1,646;1,499;1,45;1,45;8,9;16,7;16,415;27,225;16,415;16,7;40;25,65;16,415;11,57;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;
